00497c,nd_rpac
004a50,ca_frvar
004a90,ca_carg
004b02,ca_cncat
000be4,ca$cnvrt
004be4,ca_cnvrt
000d12,ca$opexe
004d12,ca_opexe
00103a,ca$eval
005034,ca_evali
005038,ca_evalc
00503a,ca_eval
005060,ca_expr
00521a,ca_oldnt
005230,ca_newnt
00529a,ca_etos
005346,ca_putss
00538c,ca_undo
0053d2,ca_fun
005488,ca_chkvv
0054cc,ca_garg
005550,ca_gtli1
005558,ca_gtfp1
00555c,ca_gtst1
005560,ca_gtin1
005574,ca_gtstr
005578,ca_gtint
00557c,ca_gtfp
005580,ca_gtlin
0055c6,ca_range
00560a,ca_indx
005730,ca_stind
0057a8,ca_ssind
0057ce,ri_swap
0057ee,ri_over
005800,ri_dup
005812,ri_roll
005856,ri_abs
00585c,ri_neg
005892,ri_squar
005896,ri_mult
00595a,ri_recip
00595e,ri_rdiv
005962,ri_div
0059bc,ri_sub
0059c0,ri_add
005a22,ri_doubl
005a26,ri_chkov
005a2e,ri_errov
005a46,ri_float
005a96,ri_renrm
005aae,ri_flong
005ab4,ri_fllin
005aca,ri_cmp
005b4e,ri_powfp
005b78,ri_power
005c28,ri_nint
005c2c,ri_int
005c3a,ri_nlint
005c3e,ri_lint
005c94,ri_sin
005c9c,ri_cos
005d1e,ri_tan
005d26,ri_cot
005d8e,ri_acos
005d98,ri_asin
005dac,ri_acot
005db8,ri_atan
005dba,ri_arg
005e80,ri_log10
005e90,ri_ln
005ef6,ri_exp
00602c,ri_mod
00602e,ri_sss
0060ac,ri_sqrt
006106,ri_halve
006116,ri_one
006122,ri_zero
006132,ri_n
006134,ri_n_b
006142,ri_k
006144,ri_k_b
0061d8,ri_abex
0061e0,ri_abexb
0061ea,ri_exec
0061f8,ri_execb
00624a,od_ser
0063ae,od_pipe
0063ea,io_serq
00656c,od_con
006a42,od_net
006b24,sd_fresh
006b78,sd_modes
006ba8,sd_entry
006c88,sd_pxenq
006c98,sd_chenq
006cb4,sd_wdef
006d12,sd_bordr
006d16,sd_bordn
006d7a,sd_curs
006d84,sd_cure
006d92,sd_sched
006dba,sd_curt
006e0c,sd_pcol
006e16,sd_ncol
006e22,sd_prow
006e2e,sd_nrow
006e3c,sd_home
006e42,sd_tab
006e48,sd_pos
006e60,sd_pixp
006e6c,sd_setc
006e84,sd_nl
006e88,sd_chchk
006ea8,sd_donl
006eae,sd_newl
006ed0,sd_recol
006ed8,sd_clear
006edc,sd_clrxx
006ee2,sd_scrol
006ee8,sd_pan
006f5a,sd_fill
006fc6,sd_setfo
006fe8,sd_setco
006ff8,sd_setfl
007004,sd_setmd
00700a,sd_setul
007012,sd_setsz
007086,dd_mdv
0070a0,dd_mdvrr
00710c,dd_mdvpd
007122,dd_mdvio
00723c,dd_mdvop
0073b8,dd_mdvtr
0073e0,dd_mdvcl
0073ee,dd_mdvlu
0073f8,dd_mdvcd
00746c,dd_mdvsc
007594,dd_mdvrn
007686,dd_mdvbu
00784c,dd_mdvnb
0039c3,pa$expr
00788a,pa_grtab
007a20,pa_kytab
003aea,pa$table
007aea,pa_table
003af2,pa$strip
007af2,pa_strip
003b50,pa$mist
007b50,pa_mist
007b78,pa_kywrd
003bfc,pa$graph
003d14,pa$ini
007bfc,pa_graph
007d16,pa_tbsym
007d20,pa_cdspc
007d40,pa_cdtxt
007d52,pa_text
007d66,pa_cdsyv
007d68,pa_cdstr
007db8,pa_cdnum
007db8,pa_cdval
007dfa,pa_cdlno
007e4e,pa_cdnam
007e90,pa_tok1
007edc,pa_cdsep
007edf,pa_tbsep
007ef0,pa_cdmon
007ef3,pa_tbmon
007f04,pa_cdops
007f07,pa_tbops
007f5e,pa_chnlt
007f76,pa_alfnm
007fd2,pa_chnam
008046,pa_chunr
0040b2,pf$nwlin
0080b2,pf_nwlin
0041ae,pf$liste
0041be,sb$start
0081be,sb_start
0084b6,sb_unvr
0084f4,sb_read
0086a6,bf_errbl
0086a8,bf_errro
0086aa,bf_errni
0086ac,bf_errov
0086ae,bf_errxp
0086b0,bf_errfe
0086b2,bf_errbp
0086b4,bf_errff
0086b6,bf_errte
0086b8,bf_errbn
0086ba,bf_errdf
0086bc,bf_erref
0086be,bf_erriu
0086c0,bf_errex
0086c2,bf_errnf
0086c4,bf_errno
0086c6,bf_errbo
0086c8,bf_error
0086ca,bf_errom
0086cc,bf_errnj
0086ce,bf_errnc
0086dc,bf_erlin
0086e2,bf_ernum
008706,bf_fllin
008714,bf_date
008716,bf_days
008718,bf_dates
00871a,bp_adate
00871c,bp_sdate
008784,bf_datez
0087ce,bf_keyrw
0087fe,bf_ipcom
008806,bf_sin
00880a,bf_cos
00880e,bf_tan
008812,bf_cot
008816,bf_asin
00881a,bf_acos
00881e,bf_exp
008822,bf_ln
008826,bf_log10
00882a,bf_sqrt
00882e,bf_abs
008836,bf_pi
008846,bf_acot
008848,bf_atan
00887c,bf_deg
008880,bf_rad
0088a2,bf_rnd
00890a,bf_int
008914,bf_peekl
008916,bf_peekw
008918,bf_peek
008944,bf_respr
008956,bf_beepg
00896c,bf_eof
00898c,bf_vers
0089ca,bp_pause
0089cc,bf_inkes
008a2a,bf_chrs
008a4c,bf_fills
008a82,bf_len
008a88,bf_code
008a92,bf_dimn
008abe,ib_pserr
008aee,ib_ernol
008af8,ib_error
008b6c,ib_errnc
008b8c,ib_errep
008bee,ib_when
008c0a,ib_whzap
008cb8,ib_whdel
008ce0,ib_whrnm
008d1a,ib_golin
008d48,ib_nxtk
008d8a,ib_glin0
008d92,ib_glin1
008e72,ib_bproc
008e74,ib_call
008fe6,ib_cheos
009040,ib_ret
00911a,ib_unret
009188,ib_npass
00920e,ib_s4non
009210,ib_s2non
009212,ib_nxnon
009264,ib_nxnam
00926a,ib_nxcom
009296,ib_start
0092a6,ib_stsng
0092aa,ib_stimm
0092d4,ib_st2
0092f6,ib_st1
009350,ib_stbas
00935c,ib_stnxl
009360,ib_stnxi
00938a,ib_steof
0093a2,ib_gost
0093ae,ib_nxst
009402,ib_eos
009446,ib_end
00948c,ib_endw
00949c,ib_let
009530,ib_array
009604,ib_on
009620,ib_symbl
009662,ib_fchk
009694,ib_sel
00980e,ib_restr
009830,ib_name
00983a,ib_name1
00989e,ib_wscan
0098b6,ib_wscnx
00993c,ib_wtest
0099be,ib_ewret
009a66,ib_next
009a70,ib_psend
009a80,ib_loop
009b6e,ib_frnge
009cd8,ib_gtlpl
009cf2,ib_index
009d0a,ib_fname
009d18,ib_proc
009dc6,ib_def
009dc8,ib_def1
009de4,ib_chinl
009e02,ib_dim
009e38,ib_mkdim
009ebc,ib_frdim
009ed2,ib_frdes
009f20,ib_exit
009f4c,ib_fend
009fac,ib_rep
009fb4,ib_for
00a08c,ib_goto
00a090,ib_ongo
00a0ea,ib_if
00a13c,ib_else
00a1b6,ib_kywrd
0062da,ib$new
00a1e4,ib_stop
00a2a2,ib_clvv
00a352,gw_pixel
00a400,gw_pixad
00a446,gw_choct
00a4d4,gw_pitt
00a5b6,gw_trans
00a632,gw_fig
00a67e,gw_psorg
00a68c,gw_pscal
00a6a2,gw_asp
00a880,gw_floof
00a882,gw_flood
00a8cc,gw_scale
00a8da,gw_gcur
00a926,cs_char
00aaa6,cs_color
00aae4,cs_plain
00ab7c,cs_over
00ab90,cs_recol
00abae,cs_scrol
00abec,cs_fill
00abf8,cs_pan
00ad9c,ii_clock
006e60,ii$drive
006e68,ii$raw
00b00f,tb_multi
00b10c,tb_multx
00b138,tb_kbenc
00b2d0,tb_itrn
00b2f8,tb_otrn
00b348,tb_trn
00b34c,tb_msg
00b5ae,tb_f0
00b91a,tb_f1
00be2c,tb_hex
